STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
34764,1,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,1.18,1.1,1
34765,2,0.25,1.62,1.1564,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.606,0.87,0.8,1
34766,2,-9,-9,-0.1041,0,0,0,0,0,0,0,0,0,0,0,0.2813,0.21,1.1,1
34767,2,-0.05,-2.51,-0.8587,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.9805,-0.45,-7,1
34768,1,-9,0.1,0.067,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3828,-0.47,0.44,1
34769,1,1.83,1.62,1.1352,0,0,0,0,0,0,0,0,0,0,0,0.1565,0.54,0.11,1
34770,1,0.25,-1.41,0.7882,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.5262,1.18,1.1,1
34772,2,-0.05,-0.58,-0.5628,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.9069,-0.14,-0.51,1
34773,1,1.83,1.62,-0.9072,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3514,1.18,1.1,4
34774,1,1.1,0.1,-0.4348,0,0,0,0,0,0,0,0,0,-4,-4,-0.9717,-0.55,0.44,1
34775,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-7,-9,1
34776,2,-1.33,-1.41,-0.4398,0,0,0,0,0,0,0,0,0,0,0,-0.9286,0.21,-7,1
34777,1,1.83,1.62,-0.2322,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.2715,-0.14,1.1,1
34778,2,-7,-7,-1.319,0,0,0,0,0,0,0,0,0,0,0,-1.4404,0.24,0.2,5
34779,2,0.25,0.1,-0.3453,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.0386,0.19,-7,1
34780,1,0.81,-0.17,-1.0265,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-2.405,-8,-8,3
34781,2,1.1,-0.17,-0.7751,0,0,0,0,0,0,0,0,0,0,0,1.2554,1.18,1.1,1
34782,1,1.83,1.23,-0.0784,0,0,0,0,0,0,0,0,0,0,0,1.7215,0.54,-0.49,1
34783,-9,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-7,-7,4
34784,1,-0.9,-0.17,-0.8455,0,0,0,0,0,0,0,0,0,0,0,-0.2763,-1.08,0.14,2
34785,1,0.25,1.34,-0.2033,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.4104,0.87,0.14,1
34786,2,-7,-1.41,-0.7751,0,0,0,0,0,0,0,0,0,-4,-4,-0.293,-7,-0.5,3
34787,2,-0.05,1.62,1.4374,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5599,1.18,0.48,1
34788,2,-1.33,-0.17,0.6166,0,0,0,0,0,0,0,0,0,0,0,-0.0554,0.85,0.79,1
34790,2,-0.89,-1.24,-0.4941,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.0811,-8,-8,1
34791,1,-0.6,-0.86,0.7925,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.126,-8,-8,1
34792,1,1.42,-9,0.8841,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.6513,1.18,0.14,1
34793,1,-9,-9,-1.2574,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.2961,-8,-8,5
34794,1,-1.33,-1,-0.7901,0,0,0,0,0,0,1,0,0,0,0,0.2178,0.21,-7,1
34795,2,-7,-7,-0.395,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.0162,-8,-8,5
34796,1,1.83,0.1,0.4529,0,0,0,0,0,0,0,0,0,0,0,0.0469,1.18,1.1,1
34797,2,-7,0.1,0.0199,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.2748,-8,-8,1
34799,1,1.83,1.62,1.9466,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2.6128,-1.2,-1.18,1
