STU_ID,BYSTLANG,BYENGLSE,BYHOMLNG,BYSTLNG2,BYSES1,BYSES2,BYP50A,BYP50B,BYP50C,BYP50D,BYP50E,BYP50F,BYP50G,BYP50H,F2HSSTAT
373215,0,0.039,-9,2,-1.54,-1.48,-4,-4,-4,-4,-4,-4,-4,-4,10
373216,1,1.596,1,4,0.46,0.58,-3,-3,-3,-3,-3,-3,-3,-3,1
373217,1,-9,1,4,-0.78,-0.97,-3,-3,-3,-3,-3,-3,-3,-3,1
373218,0,-9,5,3,-0.7,-1.15,-7,-7,-7,-7,-7,-7,-7,-7,1
373219,0,-9,2,2,-0.74,-0.87,-3,-3,-3,-3,-3,-3,-3,-3,1
373220,1,-9,1,4,-0.47,-0.66,-7,-7,-7,-7,-7,-7,-7,-7,1
373222,1,1.596,1,4,1.35,1.39,-3,-3,-3,-3,-3,-3,-3,-3,1
373223,0,-9,2,2,-1.68,-1.53,-3,-3,-3,-3,-3,-3,-3,-3,10
373224,1,-0.745,1,4,0.07,0.2,-3,-3,-3,-3,-3,-3,-3,-3,1
373225,0,-9,2,2,0.14,0.26,-3,-3,-3,-3,-3,-3,-3,-3,1
373226,1,-0.68,1,4,-1.15,-1.01,-3,-3,-3,-3,-3,-3,-3,-3,1
373227,1,0.877,1,4,0.12,-0.01,-3,-3,-3,-3,-3,-3,-3,-3,1
373228,1,-9,1,4,-0.4,-0.36,-4,-4,-4,-4,-4,-4,-4,-4,3
373229,1,-9,1,4,-0.77,-0.96,-3,-3,-3,-3,-3,-3,-3,-3,1
373231,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
373232,1,-9,1,4,-1.03,-0.92,-3,-3,-3,-3,-3,-3,-3,-3,1
373233,1,-0.933,1,4,-0.41,-0.59,-3,-3,-3,-3,-3,-3,-3,-3,1
373234,1,-9,1,4,1.17,1.35,-3,-3,-3,-3,-3,-3,-3,-3,1
373235,0,-9,5,2,0.85,0.73,-7,-7,-7,-7,-7,-7,-7,-7,1
373261,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1
374101,1,-0.556,1,4,-1.15,-1.04,-4,-4,-4,-4,-4,-4,-4,-4,1
374102,1,-9,-9,4,-0.33,-0.5,-4,-4,-4,-4,-4,-4,-4,-4,1
374105,0,-9,2,3,-0.92,-0.86,-3,-3,-3,-3,-3,-3,-3,-3,2
374106,0,-9,6,2,-0.98,-1.05,1,0,0,0,0,0,0,0,1
374107,1,0.37,1,4,-0.68,-0.83,-3,-3,-3,-3,-3,-3,-3,-3,3
374108,1,1.596,1,4,-0.38,-0.54,-3,-3,-3,-3,-3,-3,-3,-3,1
374109,0,0.331,2,2,-0.65,-0.81,-3,-3,-3,-3,-3,-3,-3,-3,1
374110,0,-9,2,2,-1.35,-1.18,-3,-3,-3,-3,-3,-3,-3,-3,9
374111,1,-1.82,1,4,-1.18,-1.1,-3,-3,-3,-3,-3,-3,-3,-3,1
374112,1,0.696,1,4,-1.65,-1.59,-4,-4,-4,-4,-4,-4,-4,-4,1
374113,1,-9,1,4,-0.96,-1.19,-3,-3,-3,-3,-3,-3,-3,-3,1
374114,0,1.596,2,2,-0.91,-0.85,-3,-3,-3,-3,-3,-3,-3,-3,10
374115,1,-9,1,4,-1.03,-0.98,-3,-3,-3,-3,-3,-3,-3,-3,1
374116,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
374118,0,-9,2,2,-1.35,-1.18,-3,-3,-3,-3,-3,-3,-3,-3,9
374119,1,-0.222,1,4,-0.82,-0.76,-3,-3,-3,-3,-3,-3,-3,-3,1
