STU_ID,BYSEX,BYENGLSE,BYSES1,BYSES2,BYS24F,BYGRDRPT,BYLGRRPT,BYTXMSTD,BYPISAME,BYACTCTL,F2HSSTAT
220116,2,-0.56,0.27,0.24,1,0,-3,48.34,474.53,-0.282,1
220117,1,-0.933,-0.57,-0.79,1,98,98,46.94,462.49,-1.049,8
220118,2,1.146,0.89,0.9,1,0,-3,56.26,546.05,1.169,1
220119,1,-0.641,-0.93,-0.94,3,1,9,38.38,382.17,-0.263,9
220120,2,-0.141,-0.92,-0.79,1,98,98,39.84,396.15,0.207,7
220122,1,1.407,-0.44,-0.39,1,98,98,46.22,456.18,1.702,10
220203,1,-9,-1.02,-0.99,-7,98,98,42.9,425.7,-9,3
220204,2,0.331,0.14,-0.03,1,0,-3,48.89,479.26,0.256,1
220205,1,-9,0.69,0.59,-7,0,-3,52.65,511.86,-9,6
220206,2,0.047,-1.18,-1.31,1,0,-3,43.33,429.76,-0.016,10
220207,1,-0.933,0.14,-0.31,1,1,0,26.33,322.26,-1.049,5
220210,2,0.159,-0.32,-0.47,1,0,-3,55.05,534.21,1.391,9
220211,1,-0.491,-0.79,-0.74,1,1,1,32.43,345.49,-0.948,9
220212,1,0.773,-0.24,-0.26,1,98,98,54.12,525.28,1.157,1
220213,2,-9,-0.52,-0.53,-7,0,-3,41.91,416.17,-9,1
220214,1,-0.149,1.06,0.96,1,0,-3,48.47,475.68,0.579,10
220215,2,1.596,-0.41,-0.62,2,0,-3,58.24,566.04,1.702,1
220216,1,1.596,0.03,-0.23,1,0,-3,59.8,582.1,-0.263,1
220217,1,-1.225,-1.12,-1.09,1,0,-3,35.43,361.82,-0.516,8
220218,1,-0.933,0.21,0.29,1,0,-3,39.51,393.04,-0.827,10
220219,1,1.596,0.32,0.36,1,0,-3,55.59,539.4,1.702,1
220220,2,-0.933,-0.72,-0.68,2,98,98,38.48,383.17,-1.049,1
220221,2,-9,-0.92,-0.86,1,1,3,38.27,381.2,-9,1
220222,1,0.078,-1.01,-1.01,1,98,98,41.68,413.99,-0.516,1
220223,2,1.596,-0.6,-0.51,1,98,98,38.66,384.85,0.885,1
220261,-8,-8,-8,-8,-8,0,-3,-8,-8,-8,10
221101,2,0.331,0.26,0.01,1,0,-3,46.83,461.48,-0.238,1
221102,2,0.024,1.26,1.16,1,0,-3,56.63,549.66,-0.002,1
221103,1,0.331,-0.71,-0.64,1,2,7,40.12,398.89,0.256,1
221104,2,-9,-0.08,-0.04,1,0,-3,33.56,351.23,-9,1
221105,1,-9,0.32,0.22,1,0,-3,32.03,343.56,-9,1
221106,1,-0.745,-0.16,-0.15,1,1,5,37.22,373.27,-0.574,10
221107,2,-0.149,-1,-0.89,2,1,0,40.44,401.95,0.123,1
221108,1,-0.745,-1.36,-1.21,1,1,1,33.17,349.2,-1.049,1
221109,2,-0.933,-0.27,-0.28,1,0,-3,31.4,340.67,-9,1
221112,2,0.135,0.97,0.79,1,0,-3,56.27,546.15,1.48,1
221113,1,-9,-0.3,-0.18,1,0,-3,47.6,468.22,-9,1
221114,2,0.331,1.19,1.23,1,0,-3,59.78,581.91,-0.263,1
221115,2,0.039,0.88,1.06,1,0,-3,52.05,506.47,-0.535,1
221116,1,-2.197,0.33,0.46,1,0,-3,31.39,340.64,-2.424,4
221117,2,-9,-1.28,-1.19,1,0,-3,43.02,426.8,-9,1
221201,1,-9,-0.25,-0.26,1,98,98,48.51,476.04,-9,1
221202,2,-9,-1.09,-0.94,1,0,-3,51.86,504.81,-9,1
221203,-4,-4,-4,-4,-4,1,6,52.77,512.55,-4,3
221204,-4,-4,-4,-4,-4,0,-3,43.33,428.3,-4,3
221205,-4,-4,-4,-4,-4,0,-3,36.18,365.17,-4,1
221206,1,-9,-1.14,-1.03,1,0,-3,58.85,572.31,-9,1
221207,2,0.585,0.42,0.57,1,0,-3,54.98,533.46,-0.574,1
221208,2,-9,0.78,0.82,1,0,-3,58.25,566.21,-9,1
221210,2,-9,-0.69,-0.52,2,2,10,50.58,493.68,-9,1
221211,1,-9,-0.76,-0.67,1,1,0,44.05,436.49,-9,1
221212,2,-1.448,-0.5,-0.47,1,0,-3,49.88,487.69,1.41,1
221213,2,-9,0.13,0.25,1,0,-3,48.74,477.98,-9,1
221215,2,0.331,1.15,1.33,1,0,-3,48.3,474.21,0.326,1
221216,1,-9,-0.01,-0.17,1,1,2,45.44,449.23,-9,3
221217,1,-9,-0.4,-0.48,1,98,98,62.42,606.6,-9,1
221218,1,-9,0.08,-0.07,1,0,-3,58.06,564.19,-9,1
221221,1,0.031,0.16,0.11,2,0,-3,47.37,466.24,-1.031,6
221222,2,-9,0.3,0.26,-7,0,-3,47.38,466.32,-9,1
221223,2,-9,-0.23,-0.51,2,0,-3,50.48,492.88,-9,1
222101,1,-9,1.54,1.73,-7,0,-3,62.28,605.5,-9,1
222102,2,0.601,1.22,1.4,1,0,-3,74.4,687.01,1.702,1
222103,1,-9,0.36,0.42,1,0,-3,46.71,460.46,-9,1
222104,1,-0.664,0.09,-0.06,1,0,-3,48.36,474.76,-0.224,1
222105,1,-9,-1.53,-1.36,1,0,-3,48.78,478.36,-9,1
222106,1,-0.672,0.52,0.36,2,0,-3,54.1,525.12,-0.827,6
222107,1,0.673,0.8,0.55,1,0,-3,47.2,464.76,1.391,1
222108,1,-9,0.01,-0.13,1,1,8,47.27,465.36,-9,6
222110,1,-0.23,1.3,1.33,1,0,-3,65.78,631.22,-9,1
222111,2,1.596,1.28,1.31,1,0,-3,58.94,573.29,-0.427,1
222112,2,1.407,-0.39,-0.36,1,0,-3,55.09,534.56,1.702,10
